num,subcategories,sid
884,Telephone System Services,33
885,Vehicle Tracking,33
886,Background Screening,34
887,HR and Payroll Services,34
888,HR Consulting,34
889,Occupational Health & Safety,34
890,Recruiters & Head Hunters,34
891,Badminton Lessons,35
892,Baseball Lessons,35
893,Basketball Lessons,35
894,Boxing Coaches,35
895,Capoeira Training,35
896,Climbing Lessons,35
897,Cross Fit Training,35
898,Cycling Training,35
899,Fencing Lessons,35
900,Football Coaching,35
901,Golf Lessons,35
902,Gymnastics Classes,35
903,Horse Riding Lessons,35
904,Ice Skating Lessons,35
905,Kayaking Lessons,35
906,Martial Arts Classes,35
907,Paragliding Lessons,35
908,Personal Trainers,35
909,Pilates Classes,35
910,Racquetball Lessons,35
911,Rowing and Crew Lessons,35
912,Running and Jogging Lessons,35
913,Sailing Lessons,35
914,Scuba Diving Lessons,35
915,Skateboarding Lessons,35
916,Skating Lessons,35
917,Skiing Lessons,35
918,Softball Lessons,35
919,Surfing Lessons,35
920,Swimming Lessons,35
921,Table Tennis Coaching,35
922,Tai Chi Lessons,35
923,Tennis Lessons,35
924,Triathlon Coaching,35
925,Volleyball Lessons,35
926,Wakeboarding Lessons,35
927,Water Aerobics Lessons,35
928,Waterskiing Lessons,35
929,Yoga Classes,35
930,Zumba Classes,35
931,Balloon Twisters & Entertainers,36
932,Bouncy Castle Hire,36
933,Clown Entertainment,36
934,Face Painting,36
935,Magician,36
936,Puppet Show Entertainment,36
937,Banister & Railing Installation,37
938,Bespoke Doors,37
939,Bespoke Furniture Design & Build,37
940,Bespoke Kitchen Furniture Design & Build,37
941,Building Frame Carpentry,37
942,Cabinetry,37
943,Fine Woodworking,37
944,Fitted Wardrobe Installation,37
945,Furniture Restoration,37
946,General Carpentry,37
947,General Fitted Furniture,37
948,Interior Plastering & Rendering,37
949,Millwork,37
950,Mural Painting,37
951,Period Restorations,37
952,Picture Framing,37
953,Sash Window Installation,37
954,Sash Window Maintenance,37
955,Shelving Installation,37
956,Specialist Masonry Construction Services,37
957,Specialist Masonry Repair and Maintenance,37
958,Wooden Staircase Installation or Replacement,37
959,Worktops & Splashback Installation,37
960,Bankruptcy Lawyer,38
961,Civil Lawyer,38
962,Commercial Legal Services,38
963,Contracts Lawyer,38
964,Court Interpreting,38
965,Criminal Defense Lawyer,38
966,Debt Recovery & Collection,38
967,Disability Lawyer,38
968,Divorce Lawyers,38
969,Employment Law Specialists,38
970,Estate Lawyer,38
971,Family Lawyers,38
972,Immigration Lawyers,38
973,Intellectual Property & Patent Lawyer,38
974,International Law Specialists,38
975,"Lawyers, Solicitors & Notary Publics",38
976,Legal Document Preparation,38
977,Mediation,38
978,Mortgage Advice,38
979,Process Serving,38
980,Property Law and Conveyancing,38
981,Radon Mitigation,38
982,Tax Lawyer,38
983,Traffic Lawyer,38
984,Wills and Estate Planning,38
985,Barbecue Installation,39
